Rank,Channel Info,Influence Score,Followers (Millions),Avg. Likes (Millions),Posts,60-Day Eng Rate,New Post Avg. Likes (Millions),Total Likes (Billions),Country Or Region
1,"
cristiano",92,485.2,8.7,3400,0.013,6.3,29.1,Spain
2,kyliejenner,91,370.7,8.2,7000,0.014,5.0,57.4,United States
3,"
leomessi",90,363.9,6.7,915,0.01,3.5,6.1,Argentina
4,"
selenagomez",93,348.8,6.1,1900,0.005,1.7,11.4,United States
5,"
therock",91,339.4,1.8,6800,0.003,0.932,12.6,United States
6,"
arianagrande",92,333.0,3.7,5000,0.009,3.1,18.5,United States
7,"
kimkardashian",91,330.7,3.5,5700,0.005,1.7,19.8,United States
8,"
beyonce",92,276.1,3.6,2000,0.008,2.2,7.3,United States
9,"
khloekardashian",89,273.9,2.4,4100,0.002,0.4047,9.8,United States
10,"
justinbieber",91,260.0,1.9,7400,0.007,1.7,14.0,Canada
11,"
kendalljenner",90,258.9,5.5,671,0.012,3.0,3.7,United States
12,"
natgeo",91,241.1,0.2989,10000,0.001,0.1687,3.0,United States
13,"
nike",90,239.2,0.316,973,0.001,0.1936,0.3075,United States
14,"
taylorswift",91,226.1,2.4,542,0.015,3.3,1.3,United States
15,"
jlo",89,223.1,1.7,3200,0.005,1.2,5.3,United States
16,"
virat.kohli",87,215.9,3.5,1400,0.013,2.7,5.0,India
17,"
nickiminaj",90,202.7,2.0,6400,0.004,0.8371,12.9,United States
18,"
kourtneykardash",89,199.4,1.8,4400,0.007,1.3,7.8,United States
19,"
mileycyrus",89,183.6,1.3,1200,0.004,0.7024,1.6,United States
20,"
neymarjr",90,179.4,2.7,5300,0.012,2.2,14.4,Brazil
21,"
katyperry",92,173.3,0.7148,2100,0.002,0.3029,1.5,United States
22,"
kevinhartreal",88,154.2,0.498,8300,0.001,0.1376,4.1,United States
23,"
zendaya",87,153.3,5.9,3500,0.049,7.5,20.8,United States
24,"
iamcardib",75,141.3,3.1,1600,0.015,2.0,5.0,United States
25,"
ddlovato",88,140.6,1.1,105,0.002,0.3051,0.1133,United States
26,"
badgalriri",88,136.3,3.7,4800,0.051,6.9,18.0,United States
27,"
kingjames",86,133.7,2.1,2400,0.008,1.0,4.9,
28,"
realmadrid",90,125.8,0.9896,7100,0.005,0.682,7.1,Spain
29,"
theellenshow",87,125.5,0.4127,10000,0.001,0.0592,4.1,United States
30,"
champagnepapi",85,121.4,1.7,5200,0.012,1.4,9.0,Netherlands
31,"
chrisbrownofficial",86,121.2,0.45,7400,0.002,0.2379,3.4,United States
32,"
fcbarcelona",90,112.5,1.1,10000,0.007,0.8072,11.5,
33,"
billieeilish",73,106.4,8.4,710,0.047,4.9,6.0,United States
34,"
gal_gadot",85,88.0,1.4,1700,0.008,0.7359,2.3,United States
35,"
dualipa",74,87.3,2.1,1300,0.017,1.5,2.7,United Kingdom
36,"
vindiesel",88,83.2,1.4,1800,0.006,0.5058,2.5,United States
37,"
nasa",88,83.1,1.2,3600,0.014,1.1,4.3,United States
38,"
priyankachopra",85,82.7,1.6,3600,0.008,0.6446,5.6,United States
39,"
lalalalisa_m",70,82.6,6.0,893,0.088,7.2,5.3,
40,"
snoopdogg",86,76.7,0.2114,10000,0.004,0.278,2.1,United States
41,"
Shakira",88,76.2,0.9761,2000,0.004,0.2818,1.9,United States
42,"
gigihadid",85,75.9,2.4,3300,0.015,1.1,7.9,United States
43,"
davidbeckham",86,75.4,1.2,1600,0.007,0.5177,1.9,United States
44,"
shraddhakapoor",81,75.2,1.6,1900,0.016,1.2,3.0,India
45,"
victoriassecret",88,73.4,0.1448,3000,0,0.0259,0.432,United States
46,"
k.mbappe",86,72.7,2.4,1200,0.018,1.3,2.8,
47,"
nehakakkar",84,71.4,1.5,2300,0.008,0.5859,3.4,India
48,"
aliaabhatt",82,71.2,1.8,1900,0.017,1.2,3.3,India
49,"
nba",87,71.1,0.368,12800,0.003,0.2162,4.7,United States
50,"
jennierubyjane",76,70.5,5.2,887,0.078,5.4,4.6,
51,"
shawnmendes",83,70.5,3.5,2500,0.025,1.8,8.8,Canada
52,"
narendramodi",85,70.2,3.0,549,0.037,2.6,1.6,India
53,"
deepikapadukone",83,69.3,1.5,285,0.009,0.6163,0.4346,India
54,"
ronaldinho",78,68.1,0.8689,3000,0.007,0.4801,2.6,Brazil
55,"
tomholland2013",77,68.1,5.4,1200,0.117,7.9,6.6,
56,"
bts.bighitofficial",78,68.1,4.1,1200,0.041,2.8,5.0,Uruguay
57,"
emmawatson",87,67.9,1.6,379,0.007,0.4678,0.6227,United States
58,"
katrinakaif",85,67.5,1.7,1000,0.024,1.6,1.8,India
59,"
marvel",82,66.6,0.3305,7200,0.004,0.2897,2.4,Turkey
60,"
justintimberlake",87,66.5,0.602,785,0.013,0.8429,0.4726,United States
61,"
camila_cabello",77,65.4,1.8,2900,0.014,0.9268,5.4,United States
62,"
sooyaaa__",82,64.7,4.7,876,0.076,4.9,4.1,
63,"
raffinagita1717",83,64.4,0.3862,9800,0.004,0.2628,3.8,Indonesia
64,"
jacquelinef143",85,63.6,1.1,2400,0.007,0.4138,2.8,India
65,"
roses_are_rosie",82,63.5,4.7,854,0.073,4.6,4.0,
66,"
akshaykumar",85,63.5,1.5,1900,0.01,0.6314,2.8,India
67,"
willsmith",82,63.4,1.4,1400,0.016,1.0,1.9,United States
68,"
anitta",82,63.3,0.8577,5100,0.01,0.5957,4.4,United States
69,"
maluma",84,62.9,1.2,8200,0.01,0.6042,9.7,Colombia
70,"
psg",86,62.7,0.4994,10100,0.006,0.3478,5.1,France
71,"
manchesterunited",85,60.8,0.39,9800,0.008,0.4675,3.8,United Kingdom
72,"
anushkasharma",85,60.4,1.9,1200,0.027,1.7,2.3,
73,"
marcelotwelve",86,59.0,0.6947,2700,0.011,0.6655,1.9,Brazil
74,"
whinderssonnunes",79,58.8,1.6,2800,0.009,0.5059,4.4,Brazil
75,"
milliebobbybrown",80,58.6,4.1,290,0.082,4.8,1.2,United States
76,"
karimbenzema",42,58.3,0.8631,2000,0.017,0.9892,1.8,Spain
77,"
gag",86,58.0,0.662,10000,0.005,0.2684,6.6,United States
78,"
karolg",83,56.8,3.1,3300,0.09,5.1,10.3,India
79,"
chrishemsworth",86,56.0,2.6,899,0.023,1.3,2.3,Australia
